date,nice_date,day,time,text,is_retweet,id
2015-12-29 01:52:00,"December 29, 2015 01:52 AM",Tuesday,0152,@LeeMiracle3: @  FoxNews @  CharlesHurt @  realDonaldTrump Trump listening to voters unlike GOP,FALSE,3423
2015-12-29 02:31:00,"December 29, 2015 02:31 AM",Tuesday,0231,Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible failed badly and was called a racist!,FALSE,3424
2015-12-29 02:39:00,"December 29, 2015 02:39 AM",Tuesday,0239,.@  jessebwatters is terrific at hosting on @  FoxNews - he really gets it!,FALSE,3425
2015-12-29 10:38:00,"December 29, 2015 10:38 AM",Tuesday,1038,Minorities line up behind.....Donald Trump #Trump2016 #MakeAmericaGreatAgain  ,FALSE,3426
2015-12-29 12:33:00,"December 29, 2015 12:33 PM",Tuesday,1233,My campaign for president is $35000000 under budget I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.,FALSE,3427
2015-12-29 12:39:00,"December 29, 2015 12:39 PM",Tuesday,1239,So I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million and; done. Run country my way!,FALSE,3428
2015-12-29 16:50:00,"December 29, 2015 04:50 PM",Tuesday,1650,Looking forward to being in Council Bluffs Iowa later today. Despite weather rally is on -- will be fantastic! #MakeAmericaGreatAgain!,FALSE,3429
2015-12-29 17:20:00,"December 29, 2015 05:20 PM",Tuesday,1720,We need a real President! ,FALSE,3430
2015-12-29 18:36:00,"December 29, 2015 06:36 PM",Tuesday,1836,I hope @  TGowdySC does better for Rubio than he did at the #Benghazi hearings which were a total disaster for Republicans and; America!,FALSE,3431
2015-12-29 22:36:00,"December 29, 2015 10:36 PM",Tuesday,2236,Shows how dumb Joe McQuaid (@  deucecrew) of the dying Union Leader is to put out the letter I wrote saying why I didn't do his failed debate!,FALSE,3432
2015-12-29 22:37:00,"December 29, 2015 10:37 PM",Tuesday,2237,The great people of New Hampshire who I love are not properly served by the dying Union Leader newspaper.,FALSE,3433
2015-12-29 22:38:00,"December 29, 2015 10:38 PM",Tuesday,2238,Joe McQuaid (@  deucecrew) of the dying Union Leader wanted ads lunches donations speeches from me and tweets---very unethical.,FALSE,3434
2015-12-30 02:02:00,"December 30, 2015 02:02 AM",Wednesday,0202,THANK YOU Council Bluffs Iowa! The silent majority is silent no more!#Trump2016 #FITN  ,FALSE,3435
2015-12-30 10:31:00,"December 30, 2015 10:31 AM",Wednesday,1031,.@  CharlesHurt   You were great on @  seanhannity last night. Thanks for the nice words. MAKE AMERICA GREAT AGAIN!,FALSE,3436
2015-12-30 11:08:00,"December 30, 2015 11:08 AM",Wednesday,1108,Iowa was fantastic last night amazing crowd and people. I'm now in Florida getting ready to go to South Carolina. Big crowd very exciting,FALSE,3437
2015-12-30 11:12:00,"December 30, 2015 11:12 AM",Wednesday,1112,@Hashtag1USA: @  realDonaldTrump what do you think of Jeb cancelling his Iowa rally last night ?  I went he didn't!,FALSE,3438
